pool_name,inventory_channel,source_file
物流基地仓-云仓VMI分配池-残次,不可用,映射.xlsx
物流基地仓-云仓VMI分配池-暂不销售区,不可用,映射.xlsx
物流基地仓-云仓VMI分配池-退货,不可用,映射.xlsx
物流郑州仓-云仓VMI分配池-电商瑕疵区,不可用,映射.xlsx
物流郑州仓-云仓VMI分配池-报废,不可用,映射.xlsx
微信视频号直营共享虚仓,兴趣,映射.xlsx
安踏跑步旗舰店独享仓,户外,映射.xlsx
小红书独享仓,兴趣,映射.xlsx
兴趣电商共享虚仓,兴趣,映射.xlsx
兴趣电商内购专用虚仓,兴趣,映射.xlsx
兴趣电商直营共享降解虚仓,共享,映射.xlsx
兴趣电商直营共享线下虚仓,兴趣,映射.xlsx
兴趣电商报废仓-D类,不可用,映射.xlsx
兴趣电商残次仓-F类,不可用,映射.xlsx
兴趣电商无吊牌仓-E类,不可用,映射.xlsx
兴趣电商冻结仓-H类,不可用,映射.xlsx
兴趣电商轻微瑕疵仓-B类,不可用,映射.xlsx
兴趣电商退货中转仓-T类,不可用,映射.xlsx
兴趣-抖音商城备用仓,兴趣,映射.xlsx
得物独享仓-唯品,上海专卖,映射.xlsx
晋江天仓第一总仓_暂存库位,不可用,映射.xlsx
临时预售锁定仓,天猫旗舰,映射.xlsx
NBA外部代销仓,其他,映射.xlsx
JIT总虚仓,唯品,映射.xlsx
运动装备虚仓_残次品,不可用,映射.xlsx
运动装备虚仓_独立店,不可用,映射.xlsx
运动装备虚仓_电商原残区,不可用,映射.xlsx
运动装备虚仓_唯品专用,不可用,映射.xlsx
晋江五里B2B总仓_退货处理,不可用,映射.xlsx
晋江五里B2B总仓_瑕疵区,不可用,映射.xlsx
电商总仓_废品区,不可用,映射.xlsx
品类旗舰预售虚仓,品类共享,映射.xlsx
第二事业部-直播共享仓-JITX2,兴趣,映射.xlsx
电商直播样品二次使用无吊牌仓-E类,不可用,映射.xlsx
电商直播样品二次使用仓分配池-F类,不可用,映射.xlsx
抖音直营虚仓-达人,兴趣,映射.xlsx
儿童-小红书拍摄虚仓,不可用,映射.xlsx
儿童-客服拍摄虚仓,不可用,映射.xlsx
分销赊销虚仓-2组安凯（天猫专卖）,天猫专卖,映射.xlsx
分销赊销虚仓-1组北京一店（天猫专卖),天猫专卖,映射.xlsx
分销赊销虚仓-1组京东配件（京东专卖）,京东专卖,映射.xlsx
分销赊销虚仓-1组四川安大（天猫专卖),天猫专卖,映射.xlsx
分销赊销虚仓-1组安建立（天猫专卖),天猫专卖,映射.xlsx
分销赊销虚仓-上海双11天猫安驰预售虚仓（直营专卖）,上海专卖,映射.xlsx
分销赊销子虚仓-上海京东虚仓,上海专卖,映射.xlsx
分销赊销虚仓-1组京东跨域（京东专卖）,京东专卖,映射.xlsx
分销赊销虚仓-1组天雅（天猫专卖),天猫专卖,映射.xlsx
分销赊销虚仓-上海天猫康誉（直营专卖）,上海专卖,映射.xlsx
分销赊销虚仓-京东共享仓（京东专卖）,京东专卖,映射.xlsx
分销赊销虚仓-1组（天猫专卖）,天猫专卖,映射.xlsx
分销赊销虚仓-1组深圳安大（天猫专卖）,天猫专卖,映射.xlsx
分销赊销总虚仓暂存,不可用,映射.xlsx
分销赊销虚仓-2组（天猫专卖）,天猫专卖,映射.xlsx
官方商城预售仓,其他,映射.xlsx
唯品JIT专用仓,唯品,映射.xlsx
集团品牌安踏官网无吊牌仓-E类,不可用,映射.xlsx
京自营独享预售虚仓,京自营,映射.xlsx
奥莱店共享仓-JITX2,,映射.xlsx
拼多多专卖直营虚仓,拼多多,映射.xlsx
品牌降解暂存分配池,不可用,映射.xlsx
品牌降解报废,不可用,映射.xlsx
品牌降解暂不销售区,不可用,映射.xlsx
爱库存虚仓-JITX2,不可用,映射.xlsx
顺丰泉州2仓-云仓VMI-残次,不可用,映射.xlsx
万库浦东仓-云仓VMI-C类,不可用,映射.xlsx
万库浦东仓-云仓VMI分配池-报废,不可用,映射.xlsx
万库浦东仓-云仓VMI分配池-残次,不可用,映射.xlsx
物流广州仓-云仓VMI分配池-残次,不可用,映射.xlsx
物流广州仓-云仓VMI分配池-退货,不可用,映射.xlsx
物流广州仓-云仓VMI分配池-电商废品区,不可用,映射.xlsx
物流基地仓-云仓VMI分配池-电商原残区,不可用,映射.xlsx
物流郑州仓-云仓VMI分配池-电商废品区,不可用,映射.xlsx
京东泉州唯品虚仓,不可用,映射.xlsx
兴趣电商不质检仓-X类,不可用,映射.xlsx
韵达潍坊仓-云仓VMI分配池-退货,不可用,映射.xlsx
自营磁灶仓-云仓VMI分配池-电商瑕疵区,不可用,映射.xlsx
安踏电商京自营结算虚仓（团购）-暂存,不可用,映射.xlsx
晋江五里B2C残次品虚仓,不可用,映射.xlsx
安踏电商京自营结算仓（冠军）-发货差异调整库位,不可用,映射.xlsx
安踏电商京自营结算虚仓（冠军）-品牌认责,不可用,映射.xlsx
安踏电商京自营结算仓（冠军）-平台认责,不可用,映射.xlsx
安踏电商京自营结算虚仓（奥莱）-品牌认责,不可用,映射.xlsx
上海天京得物虚仓,上海专卖,映射.xlsx
集团安踏成人官网残次仓-F类,不可用,映射.xlsx
集团安踏成人官网分配池_暂不销售区,不可用,映射.xlsx
京自营独享专卖虚仓,京自营,映射.xlsx
到货差异仓总虚仓,不可用,映射.xlsx
儿童-抖音达人,不可用,映射.xlsx
京东预售虚仓,京东旗舰,映射.xlsx
VMI武汉虚仓残次品,不可用,映射.xlsx
物流郑州仓-云仓VMI分配池-残次,不可用,映射.xlsx
鲁西南办事处分配池,货通,映射.xlsx
烟威办事处分配池,货通,映射.xlsx
兰州办事处分配池,货通,映射.xlsx
天津分配池,货通,映射.xlsx
南宁分配池,货通,映射.xlsx
桂北分配池,货通,映射.xlsx
桂南分配池,货通,映射.xlsx
贵州大货办事处分配池,货通,映射.xlsx
南昌办事处分配池,货通,映射.xlsx
赣州办事处分配池,货通,映射.xlsx
江西儿童分配池,货通,映射.xlsx
