store_name,sales_channel,source_file
拼多多-安踏母婴旗舰店,删除,映射.xlsx
抖音-安踏儿童体育旗舰店,删除,映射.xlsx
京东-安踏儿童安永专卖店,删除,映射.xlsx
快手-安踏儿童官方店,删除,映射.xlsx
天猫-anta安踏童装旗舰店,删除,映射.xlsx
抖音-安踏ANTA儿童旗舰店,删除,映射.xlsx
淘宝-安踏儿童企业店,删除,映射.xlsx
快手-安踏儿童快手小店,删除,映射.xlsx
北京京东世纪贸易有限公司-安踏成人,京自营,映射.xlsx
北京京东世纪贸易有限公司-装备,京自营,映射.xlsx
北京京东世纪贸易有限公司-运动鞋服店,京自营,映射.xlsx
北京京东世纪贸易有限公司-户外鞋服店,京自营,映射.xlsx
北京京东世纪贸易有限公司—安踏电子商务,京自营,映射.xlsx
北京京东世纪贸易有限公司-冠军店,京自营,映射.xlsx
北京京东世纪贸易有限公司-奥莱店,京自营,映射.xlsx
拼多多-ANTA运动装备旗舰店,拼多多,映射.xlsx
拼多多-深圳跨域安踏童装粤鸿飞店,删除,映射.xlsx
天猫-antakids旗舰店,删除,映射.xlsx
快手-anta kids童装旗舰店,删除,映射.xlsx
抖音-安踏儿童母婴旗舰店,删除,映射.xlsx
京东-安踏童装旗舰店,删除,映射.xlsx
抖音-安踏儿童崇山东路鞋服专卖店,删除,映射.xlsx
抖音-安踏儿童品牌旗舰店,删除,映射.xlsx
拼多多-安踏童鞋官方旗舰店,删除,映射.xlsx
淘宝-安踏儿童直营二店,删除,映射.xlsx
微信视频号-安踏儿童官方旗舰店,删除,映射.xlsx
微信视频号-安踏运动商城,兴趣,映射.xlsx
抖音-安踏儿童服饰旗舰店,删除,映射.xlsx
抖音-安踏童装童鞋旗舰店,删除,映射.xlsx
抖音-安踏儿童官方奥莱旗舰店,删除,映射.xlsx
抖音-安踏儿童运动装备旗舰店,删除,映射.xlsx
微信视频号-antakids总部商城,删除,映射.xlsx
北京京东世纪贸易有限公司-超级安踏京东自营旗舰店,京自营,映射.xlsx
京东-安踏竞技场旗舰店,京东旗舰,映射.xlsx
抖音-安踏北京户外运动专卖店,兴趣,映射.xlsx
抖音-超级安踏平顶山SS店,兴趣,映射.xlsx
快手-安踏户外鞋服旗舰店,兴趣,映射.xlsx
视频号-安踏北京品牌综合店,兴趣,映射.xlsx
快手-安踏北京内着专卖店,兴趣,映射.xlsx
抖音-安踏跑步专卖店,兴趣,映射.xlsx
