结算日期,单据类型,店铺名称,货号,销售数量,销售金额,吊牌金额
20260323,退货单,抖音-安踏男鞋旗舰店,112545581-16,-1,-299.0,-499.0000
20260323,退货单,得物直发-安踏运动旗舰店,922628068F-3,-1,-147.0,-299.0000
20260323,退货单,安踏大货唯品会,122448068-7,-20,-2000.0,-8780.0000
20260323,退货单,安踏大货唯品会,162618604-6,-3,-1365.5365849999998,-1797.0000
20260323,退货单,拼多多-安踏篮球旗舰店,152448312U-5,-1,-86.0,-269.0000
20260323,退货单,拼多多-上海安驰安踏专卖店,162445409U-6,-3,-177.0,-597.0000
20260323,退货单,抖音-安踏湖南专卖店,112535509R-2,-1,-179.0,-299.0000
20260323,退货单,拼多多-安踏运动旗舰店,162448926U-6,-2,-408.0,-998.0000
20260323,退货单,京东-安踏官方旗舰店,912618816-2,-2,-483.38,-998.0000
20260323,退货单,天猫-安踏跑步旗舰店,912525572F-4,-9,-2150.13,-3591.0000
20260323,退货单,拼多多-安踏旗舰店,922528001-2,-20,-2015.99,-5380.0000
20260323,退货单,拼多多-安踏旗舰店,922538821-3,-2,-220.0,-598.0000
20260323,退货单,京东-安踏思捷悦合专卖店,952627103-4,-1,-69.0,-99.0000
20260323,退货单,拼多多-上海安驰安踏专卖店,162527733-2,-2,-263.0,-478.0000
20260323,退货单,安踏大货唯品会,112528869-2,-16,-2648.94535,-6384.0000
20260323,退货单,安踏大货唯品会,122448859-1,-13,-1825.0,-5707.0000
20260323,退货单,安踏大货唯品会,152535301-1,-7,-846.3170719999998,-1673.0000
20260323,退货单,安踏大货唯品会,912438015-3,-10,-955.0,-5490.0000
20260323,退货单,安踏大货唯品会,952445301-2,-16,-1112.0,-3824.0000
20260323,退货单,抖音-安踏沈阳专卖,152537402-1,-3,-447.0,-807.0000
20260323,退货单,拼多多-安踏运动旗舰店,162447718N-1,-2,-186.0,-598.0000
20260323,退货单,拼多多-安踏运动旗舰店,172511605N-5,-1,-179.0,-599.0000
20260323,退货单,天猫-安踏官方网店,112617713-3,-3,-590.26,-897.0000
20260323,退货单,天猫-安踏官方网店,912625516-1,-1,-268.03,-399.0000
20260323,退货单,天猫-安踏官方网店,922538839-5,-7,-1404.81,-2793.0000
20260323,退货单,天猫-安踏官方网店,952525110-4,-4,-227.46,-396.0000
20260323,退货单,抖音-安踏运动户外旗舰店,922618099-3,-2,-248.0,-398.0000
20260323,退货单,拼多多-安踏旗舰店,122537713-6,-1,-110.0,-299.0000
20260323,退货单,拼多多-安踏旗舰店,152537402-1,-3,-320.1,-807.0000
20260323,退货单,拼多多-安踏旗舰店,922528001-3,-21,-2121.99,-5649.0000
20260323,退货单,微信视频号-安踏运动鞋服旗舰店,922535505-1,-2,-338.0,-538.0000
20260323,退货单,安踏大货唯品会,112518841R-1,-4,-392.0,-1596.0000
20260323,退货单,安踏大货唯品会,152445410U-2,-3,-117.0,-597.0000
20260323,退货单,安踏大货唯品会,152530530-1,-4,-1159.414634,-1996.0000
20260323,退货单,拼多多-郑州安发安踏锋锐专卖店,162447757RN-1,-1,-145.0,-499.0000
20260323,退货单,抖音-安踏沈阳中街冠军旗舰店,152620516-1,-1,-559.0,-599.0000
20260323,退货单,拼多多-安踏篮球旗舰店,122518860R-1,-3,-278.0,-1047.0000
20260323,退货单,拼多多-安踏运动旗舰店,162447757RN-1,-11,-1474.0,-5489.0000
20260323,退货单,天猫-安踏官方网店,112531133S-3,-2,-1548.0,-2398.0000
20260323,退货单,天猫-安踏官方网店,1825315628R-1,-1,-114.0,-179.0000
20260323,退货单,天猫-安踏官方网店,922615541-5,-7,-952.6800000000001,-1393.0000
20260323,退货单,淘宝-安踏品牌网店,162525109-4,-1,-119.0,-199.0000
20260323,退货单,拼多多-安踏男鞋官方旗舰店,952547204-5,-2,-478.0,-798.0000
20260323,退货单,天猫-anta安踏安驰专卖店,912545570-5,-1,-239.0,-499.0000
20260323,退货单,天猫-anta安踏安驰专卖店,962627208-7,-4,-562.4200000000001,-796.0000
20260323,退货单,拼多多-上海安驰安踏专卖店,912515591-15,-1,-249.0,-599.0000
20260323,退货单,安踏大货唯品会,162618305U-1,-8,-1299.227371,-1912.0000
